Questions,Answers,Intent
What should be done if you are inside a house or a building during an earthquake?,"Answer: If you are inside a building, bend down to the ground, take shelter under a strong table or any part of the furniture, or remain seated while holding on tightly. If you don't have a table or desk, cover your face and head with your arms and sit crouched in a corner of the building. Stay away from mirrors, windows, doors and walls or anything that could fall. To escape, only go out through a door if it is close to you and you know it is strong and can withstand the weight. Stay inside until the earthquake stops and it is safe to go out. . Research has shown that most injuries occur when people inside the building try to go to another place or outside. Keep in mind that power can go out at any time, so use the stairs instead of the elevator",Earth_Quake_Situation_Indoor
What should be done if you are outside the house during an earthquake?,"Answer: If you are outside the house, stay where you are. But stay away from buildings, trees, street lights and electricity/telephone wires etc. If you are in an open place, stay there until the earthquake tremors stop. The greatest danger lies near the building's exits and its outer walls, so stay away from them. Most of the accidents due to earthquake are due to falling of walls, breaking glass and falling objects, hence do not stand near any such object. If you are in a moving vehicle, stop the vehicle as soon as possible safely and stop the vehicle. Stay in. But avoid stopping near or under buildings, trees, bridges, electric/telephone wires etc. After the earthquake stops, proceed with caution and avoid roads and bridges damaged by the earthquake",Earth_Quake_Situation_Outdoor
What to do if you get buried under debris during an earthquake?,"Answer: Cover your mouth with a handkerchief or cloth. Tap a pipe or wall so that rescuers can find you. Whistle if you can. If there is no other solution, then shout loudly by covering your mouth with a cloth so that the dust does not enter your mouth or nose",Earth_Quake_Derbis
What should be done if bitten by a snake or any other poisonous animal?,These measures can be taken in case of snake bite: Calm the patient. Keep the cut area below heart level. Keep the part which has been bitten by a snake stable. Wash the bitten area with soap and clean water. Tie a cloth strip or rope two inches above the bitten area in such a way that the blood flow does not stop completely. Give lukewarm water to the victim and ask him to vomit. Get antivenom injected within 4 hours of the bite,Response_to_Snake_or_Poisonous_Animal_Bite
What should not be done if bitten by a snake or any other poisonous animal?,"Do not allow a person to drink alcohol or caffeine containing beverages after being bitten by a snake or any other poisonous animal. Do not try to suck the poison out. Do not apply chilli powder, mustard oil, acid or irritating chemicals on the wound. Do not let a person who has been bitten by a snake walk and immediately take him to the hospital. People have many types of confusions, hence do not give any medicine without doctor's advice",Avoiding_Actions_After_Snake_or_Poisonous_Animal_Bite
What are the symptoms of snake bite?,"These are the specific symptoms of snakebite, they will let you know immediately that you have been bitten by a snake. Puncture-like marks or wounds with two sharp points, bleeding from the wound, redness around the bite, burning sensation and severe pain, change in skin color, diarrhea and fever, stomach pain and headache, difficulty in breathing, nausea and vomiting, shock, allergy. , blurred vision, profuse sweating and salivation, numbness and drooping eyelids in the limbs and face, thirst, fatigue and muscle weakness",Recognizing_Symptoms_of_Snake_Bite
What should be done if bitten by a stray or wild animal?,"If bitten by an animal, wash the bitten area thoroughly with soap and water for 10-15 minutes. Keep the wound open. Do not apply chilli or lime. Apply Povidone or Betadine or Spirit on the wound. Get tetanus vaccine done. And take doctor's advice for rabies vaccination",First_Aid_for_Animal_Bite
A TRIAGE in terms of trauma victims?,A TRIAGE means to sort out and is a process by which bystanders and care providers such as medical professionals and those with knowledge of giving instant help at any accident happening must determine the order of priority for providing treatment to injured with limited supplies so that those in dire need get the benefit on priority,Understanding_TRIAGE_in_Trauma_Cases
What are the three categories of TRIAGE?,A The triage scale consists of three levels of category Immediate Category Urgent Category Non-Urgent,TRIAGE_Categories_Explanation
How does the medical TRIAGE system work?,"A The most common medical TRIAGE system is colour coding: -- Red- The individual needs immediate attention for a critical life-threatening injury or illness and may be transported first- Yellow- The individual has serious injuries that need immediate attention, but in some systems, yellow tags are transported first because they have a better chance of recovery- Green- This could indicate less serious or minor injuries that are non-life-threatening and transport may be delayed- Black- This could indicate an individual is deceased or mortally wounded it may mean that they are beyond help and therefore is a lower priority- a hopeless case- White- The individual does not have an injury or illness and can go homeWhen is the medical TRIAGE used?A It is used in multiple and mass casualties where there are too many patients with limited personnel or resources Triage is used to determine who gets care first",Working_of_the_Medical_TRIAGE_System
What is the goal of Triage?,"Place the right patient in the right place, at the right time, by the right person is the goal of triage",Objective_of_the_Triage_Process
What is the START Triage method?,Simple Triage and Rapid Treatment (START) is a Triage method used by First Responders to quickly classify victims during a Mass Casualty Incident (MCI) based on the severity of their injury,Overview_of_the_START_Triage_Method
Which is the most common Triage?,"These are the most common triages Emergency Department (ED) Triage, Inpatient (ICU) Triage, Incident (Multi-Casualty) Triage, Military (Battlefield) Triage, And Disaster (Mass Casualty) Triage",Common_Methods_in_Triage
What is the principal cause of death in 15-49 age group?,The principal cause of death in 15-49 age group is road traffic injury.2. What is a fatal road accident?Ans. An accident that causes the death of one or more persons is called a fatal accident.3. What is meant by TRIAGE?Ans. TRIAGE means to â€œSort Outâ€ number of trauma patients on the basis of severity of injuries. 4. What is the aim of TRIAGE?Ans. TRIAGE aims to prevent death while transporting the injured to the hospital.5. What is â€œPHTLS?â€Ans. Pre-Hospital Trauma Life Support-trauma care during transport to hospital.6. What is the categorization for TRIAGE?Ans. There are three categorizations:-â€¢ Urgentâ€¢ Can wait â€¢ Hopeless,Leading_Cause_of_Death_in_15-49_Age_Group
What are the steps of TRIAGE?,"Asses the physiological impact of injury by:-Systolic BP, Glasgow coma scale, Respiratory rate",Sequential_Steps_in_the_TRIAGE_Process
What is Concussion injury?,A head injury that may cause instant loss of awareness or alertness for a few hours after injury is called a Concussion injury,Understanding_Concussion_Injury
What is the incidence of road accident deaths in India as per statistics of Dec.22,â€¢ Average. 1.53 lakh per yearâ€¢ Avg. 1130 accidents per dayâ€¢ Avg. 422 deaths per dayâ€¢ Avg. 47/ RTAâ€™s per hourâ€¢ Avg. 18 death per hour,Road_Accidents_Stats
What are the types of chest injuries in road accidents?,There are two types of chest injuries in road accidents:-1/ Blunt Injury 2/ Penetrating Injury,Classification_of_Chest_Injuries_in_Road_Accidents
Which chest injury is worst for the patient?,Penetrating chest injury is worse for patients. It is more deadly,Identifying_the_Severest_Chest_Injury
What is first-aid for penetrating chest injury?,"Apply gentle pressure with a clean cloth or bandage, clean if the wound is bleeding. If it is an open sucking wound prevent an entry As Soon As Possible. Use an airtight seal/cover by palm of hand/ cling film to cover the wound and tape it on their sides",Immediate_Care_for_Penetrating_Chest_Injury
Which type of injury has the highest mortality rate?,Chest injury has the highest mortality rate,Identifying_Injury_with_Highest_Mortality_Rat
